Method,accuracy,precision,recall,f1_score,roc_auc,Training_Time
Vanilla,0.6459143968871596,0.5919282511210763,1.0,0.7436619718309859,0.9233939393939394,1.5556471347808838
Regularized,0.6770428015564203,0.6256410256410256,0.9242424242424242,0.746177370030581,0.8125454545454546,3.9229750633239746
