Method,gamma,training_time,accuracy,precision,recall,f1_score,roc_auc
Vanilla,0.0,1.423271894454956,0.6459143968871596,0.5919282511210763,1.0,0.7436619718309859,0.9233939393939394
Regularized,0.3,8.486303329467773,0.754863813229572,0.7116564417177914,0.8787878787878788,0.7864406779661017,0.8265454545454546
