Method,accuracy,precision,recall,f1_score,roc_auc,Training_Time
Vanilla,0.4479166666666667,0.38323353293413176,0.9552238805970149,0.5470085470085471,0.7714626865671642,1.0451264381408691
Regularized,0.671875,0.5416666666666666,0.3880597014925373,0.45217391304347826,0.714865671641791,3.9665701389312744
