Method,gamma,training_time,accuracy,precision,recall,f1_score,roc_auc
Vanilla,0.0,1.4876446723937988,0.6459143968871596,0.5919282511210763,1.0,0.7436619718309859,0.9233939393939394
Regularized,0.5,5.615963935852051,0.7354085603112841,0.6839080459770115,0.9015151515151515,0.7777777777777778,0.804
