Method,gamma,training_time,accuracy,precision,recall,f1_score,roc_auc
Vanilla,0.0,1.1744818687438965,0.4479166666666667,0.38323353293413176,0.9552238805970149,0.5470085470085471,0.7714626865671642
Regularized,0.7,1.9683494567871094,0.4895833333333333,0.3798449612403101,0.7313432835820896,0.5,0.6232835820895523
