Method,gamma,training_time,accuracy,precision,recall,f1_score,roc_auc
Vanilla,0.0,1.5465788841247559,0.6459143968871596,0.5919282511210763,1.0,0.7436619718309859,0.9233939393939394
Regularized,0.1,8.08671498298645,0.8054474708171206,0.7971014492753623,0.8333333333333334,0.8148148148148148,0.8843030303030303
