Method,gamma,training_time,accuracy,precision,recall,f1_score,roc_auc
Vanilla,0.0,1.5617516040802002,0.9790209790209791,0.9629629629629629,0.9811320754716981,0.9719626168224299,0.9943396226415094
Regularized,0.1,7.455410480499268,0.972027972027972,0.9622641509433962,0.9622641509433962,0.9622641509433962,0.9972746331236897
