Method,gamma,training_time,rmse,mae,r2
Vanilla,0.0,23.490989208221436,0.6571297425463034,0.4982505440711975,0.3346131443977356
Regularized,0.5,16.099090576171875,0.869316066222583,0.6527215838432312,-0.16446757316589355
