Method,gamma,training_time,accuracy,precision,recall,f1_score,roc_auc
Vanilla,0.0,8.7394380569458,0.8775510204081632,0.8767123287671232,0.8421052631578947,0.8590604026845637,0.9077569578396253
Regularized,0.3,1.1254706382751465,0.8571428571428571,0.8121212121212121,0.881578947368421,0.8454258675078864,0.9167642601267566
