gamma,vanilla_accuracy,regularized_accuracy,vanilla_roc_auc,regularized_roc_auc,vanilla_time,regularized_time,improvement_roc_auc,improvement_accuracy
0.1,0.6459143968871596,0.8054474708171206,0.9233939393939394,0.8843030303030303,1.5465788841247559,8.08671498298645,-0.039090909090909176,0.15953307392996108
0.3,0.6459143968871596,0.754863813229572,0.9233939393939394,0.8265454545454546,1.423271894454956,8.486303329467773,-0.09684848484848485,0.1089494163424124
0.5,0.6459143968871596,0.7354085603112841,0.9233939393939394,0.804,1.4876446723937988,5.615963935852051,-0.11939393939393939,0.08949416342412453
0.7,0.6459143968871596,0.7509727626459144,0.9233939393939394,0.7990909090909091,1.4345273971557617,9.500380039215088,-0.12430303030303036,0.10505836575875482
