Method,accuracy,precision,recall,f1_score,roc_auc,Training_Time
Vanilla,0.916083916083916,0.8253968253968254,0.9811320754716981,0.896551724137931,0.9758909853249476,78.13617157936096
Regularized,0.951048951048951,0.9107142857142857,0.9622641509433962,0.9357798165137615,0.9836477987421384,58.92735242843628
