Method,rmse,mae,r2,Training_Time
Vanilla,0.6571297425463034,0.4982505440711975,0.3346131443977356,21.032017469406128
Regularized,0.8513747892064455,0.6323633193969727,-0.1168980598449707,9.566622018814087
