Method,gamma,training_time,rmse,mae,r2
Vanilla,0.0,22.6391282081604,0.6571297425463034,0.4982505440711975,0.3346131443977356
Regularized,0.1,15.279356479644775,0.8040506750335147,0.6071970462799072,0.0038176774978637695
