Method,accuracy,precision,recall,f1_score,roc_auc,Training_Time
Vanilla,0.8775510204081632,0.8767123287671232,0.8421052631578947,0.8590604026845637,0.9077569578396253,9.934879302978516
Regularized,0.9970845481049563,0.9934640522875817,1.0,0.9967213114754099,0.9999999999999999,2.742100238800049
