Method,gamma,training_time,rmse,mae,r2
Vanilla,0.0,22.489182949066162,0.6571297425463034,0.4982505440711975,0.3346131443977356
Regularized,0.7,15.72234559059143,0.9038095499999163,0.6771673560142517,-0.25871050357818604
