Method,gamma,training_time,accuracy,precision,recall,f1_score,roc_auc
Vanilla,0.0,9.12364912033081,0.8775510204081632,0.8767123287671232,0.8421052631578947,0.8590604026845637,0.9077569578396253
Regularized,0.7,2.07363224029541,0.892128279883382,0.8402366863905325,0.9342105263157895,0.8847352024922118,0.9472134196748416
