Method,gamma,training_time,accuracy,precision,recall,f1_score,roc_auc
Vanilla,0.0,1.777940273284912,0.9790209790209791,0.9629629629629629,0.9811320754716981,0.9719626168224299,0.9943396226415094
Regularized,0.3,6.48657751083374,0.965034965034965,0.9615384615384616,0.9433962264150944,0.9523809523809523,0.9943396226415094
