Method,gamma,training_time,rmse,mae,r2
Vanilla,0.0,22.860395908355713,0.6571297425463034,0.4982505440711975,0.3346131443977356
Regularized,0.3,15.505281209945679,0.8388125098708595,0.6311376094818115,-0.08418095111846924
