Method,gamma,training_time,accuracy,precision,recall,f1_score,roc_auc
Vanilla,0.0,10.277415990829468,0.8775510204081632,0.8767123287671232,0.8421052631578947,0.8590604026845637,0.9077569578396253
Regularized,0.1,1.6858980655670166,0.8600583090379009,0.8132530120481928,0.8881578947368421,0.8490566037735849,0.9183831634058969
