Method,gamma,training_time,accuracy,precision,recall,f1_score,roc_auc
Vanilla,0.0,1.17720627784729,0.4479166666666667,0.38323353293413176,0.9552238805970149,0.5470085470085471,0.7714626865671642
Regularized,0.1,4.987404823303223,0.7083333333333334,0.5932203389830508,0.5223880597014925,0.5555555555555556,0.7121194029850747
